Date,Open,High,Low,Close,Percent Change,Volume
2013-07-22,1910.0,1915.0,1885.0,1885.0,-1.31,1031
2013-07-23,1885.0,1920.0,1870.0,1920.0,1.86,898
2013-07-24,1920.0,1900.0,1843.0,1890.0,-1.56,2886
2013-07-25,1890.0,1905.0,1880.0,1889.0,-0.05,1962
2013-07-28,1889.0,1918.0,1880.0,1905.0,0.85,2279
2013-07-29,1905.0,1910.0,1890.0,1900.0,-0.26,2562
2013-07-30,1900.0,1915.0,1900.0,1910.0,0.53,2927
2013-07-31,1910.0,1935.0,1900.0,1925.0,0.79,2384
2013-08-01,1925.0,1950.0,1900.0,1910.0,-0.78,2696
2013-08-04,1910.0,1915.0,1891.0,1915.0,0.26,3186
2013-08-05,1915.0,1901.0,1890.0,1895.0,-1.04,1105
2013-08-06,1895.0,1905.0,1885.0,1903.0,0.42,2029
2013-08-07,1903.0,1920.0,1890.0,1890.0,-0.68,635
2013-08-08,1890.0,1926.0,1880.0,1900.0,0.53,2663
2013-08-11,1900.0,1875.0,1850.0,1870.0,-1.58,867
2013-08-12,1870.0,1870.0,1842.0,1850.0,-1.07,1648
2013-08-13,1850.0,1850.0,1812.0,1830.0,-1.08,2663
2013-08-14,1830.0,1860.0,1819.0,1819.0,-0.60,1105
2013-08-15,1819.0,1845.0,1818.0,1845.0,1.43,651
2013-08-18,1845.0,1845.0,1822.0,1825.0,-1.08,1294
2013-08-19,1825.0,1850.0,1830.0,1838.0,0.71,1782
2013-08-20,1838.0,1855.0,1830.0,1855.0,0.92,807
2013-08-25,1855.0,1870.0,1850.0,1860.0,0.27,1577
2013-08-26,1860.0,1860.0,1840.0,1851.0,-0.48,1868
2013-08-27,1851.0,1859.0,1840.0,1853.0,0.11,1193
2013-08-29,1853.0,1856.0,1830.0,1834.0,-1.03,1962
2013-09-01,1834.0,1840.0,1830.0,1830.0,-0.22,787
2013-09-02,1830.0,1825.0,1820.0,1820.0,-0.55,802
2013-09-03,1820.0,1828.0,1800.0,1820.0,0.00,3564
2013-09-04,1820.0,1840.0,1803.0,1820.0,0.00,2269
2013-09-05,1820.0,1820.0,1799.0,1820.0,0.00,3902
2013-09-08,1820.0,2002.0,1856.0,2002.0,10.00,9905
2013-09-09,2002.0,2039.0,1961.0,1965.0,-1.85,8448
2013-09-10,1965.0,1965.0,1926.0,1940.0,-1.27,5604
2013-09-11,1940.0,1958.0,1940.0,1958.0,0.93,5974
2013-09-12,1958.0,1975.0,1960.0,1965.0,0.36,3529
2013-09-15,1965.0,1995.0,1960.0,1990.0,1.27,9143
2013-09-16,1990.0,2002.0,1990.0,1996.0,0.30,4647
2013-09-17,1996.0,2003.0,1985.0,2000.0,0.20,9843
2013-09-19,2000.0,1991.0,1965.0,1980.0,-1.00,2291
2013-09-22,1980.0,1980.0,1950.0,1975.0,-0.25,2397
2013-09-23,1975.0,1975.0,1941.0,1970.0,-0.25,3089
2013-09-24,1970.0,1990.0,1961.0,1980.0,0.51,4740
2013-09-25,1980.0,1986.0,1976.0,1980.0,0.00,2790
2013-09-26,1980.0,2000.0,1979.0,1980.0,0.00,837
2013-09-29,1980.0,1990.0,1970.0,1975.0,-0.25,2802
2013-09-30,1975.0,1980.0,1975.0,1975.0,0.00,1938
2013-10-01,1975.0,2012.0,1974.0,1980.0,0.25,2887
2013-10-02,1980.0,1985.0,1950.0,1983.0,0.15,1303
2013-10-03,1983.0,1980.0,1960.0,1976.0,-0.35,2340
2013-10-06,1976.0,1980.0,1970.0,1980.0,0.20,1379
2013-10-07,1980.0,1995.0,1980.0,1992.0,0.61,1594
2013-10-08,1992.0,2010.0,1995.0,2010.0,0.90,2489
2013-10-09,2010.0,2014.0,2000.0,2008.0,-0.10,2821
2013-10-10,2008.0,2035.0,2015.0,2030.0,1.10,1255
2013-10-17,2030.0,2065.0,2035.0,2065.0,1.72,3332
2013-10-20,2065.0,2151.0,2050.0,2150.0,4.12,8573
2013-10-21,2150.0,2240.0,2124.0,2200.0,2.33,6354
2013-10-22,2200.0,2200.0,2100.0,2150.0,-2.27,7336
2013-10-23,2150.0,2160.0,2111.0,2140.0,-0.47,2544
2013-10-24,2140.0,2160.0,2118.0,2160.0,0.93,3527
2013-10-27,2160.0,2201.0,2117.0,2200.0,1.85,3228
2013-10-28,2200.0,2230.0,2191.0,2198.0,-0.09,5747
2013-10-29,2198.0,2204.0,2190.0,2201.0,0.14,2987
2013-10-30,2201.0,2206.0,2195.0,2200.0,-0.05,8171
2013-10-31,2200.0,2208.0,2195.0,2198.0,-0.09,5454
2013-11-06,2198.0,2200.0,2191.0,2194.0,-0.18,1535
2013-11-07,2194.0,2199.0,2175.0,2175.0,-0.87,3254
2013-11-10,2175.0,2196.0,2170.0,2170.0,-0.23,1502
2013-11-11,2170.0,2210.0,2150.0,2201.0,1.43,10578
2013-11-12,2201.0,2250.0,2200.0,2205.0,0.18,3891
2013-11-13,2205.0,2240.0,2205.0,2213.0,0.36,8998
2013-11-14,2213.0,2260.0,2200.0,2229.0,0.72,9683
2013-11-21,2229.0,2451.0,2273.0,2451.0,9.96,10177
2013-11-24,2451.0,2567.0,2400.0,2523.0,2.94,7026
2013-11-25,2523.0,2478.0,2380.0,2447.0,-3.01,4977
2013-11-26,2447.0,2440.0,2380.0,2390.0,-2.33,5083
2013-11-27,2390.0,2390.0,2365.0,2380.0,-0.42,1841
2013-11-28,2380.0,2380.0,2333.0,2380.0,0.00,3395
2013-12-01,2380.0,2495.0,2427.0,2474.0,3.95,5618
2013-12-02,2474.0,2500.0,2470.0,2491.0,0.69,5399
2013-12-03,2491.0,2605.0,2491.0,2575.0,3.37,6324
2013-12-04,2575.0,2725.0,2610.0,2715.0,5.44,6447
2013-12-05,2715.0,2800.0,2695.0,2720.0,0.18,9860
2013-12-08,2720.0,2790.0,2700.0,2750.0,1.10,18668
2013-12-09,2750.0,2400.0,2244.0,2290.0,0.00,5002
2013-12-10,2290.0,2290.0,2240.0,2255.0,-1.53,1767
2013-12-11,2255.0,2305.0,2260.0,2290.0,1.55,2056
2013-12-12,2290.0,2300.0,2240.0,2245.0,-1.97,1285
2013-12-15,2245.0,2300.0,2216.0,2300.0,2.45,1243
2013-12-16,2300.0,2386.0,2310.0,2386.0,3.74,716
2013-12-18,2386.0,2410.0,2386.0,2410.0,1.01,900
2013-12-19,2410.0,2400.0,2257.0,2399.0,-0.46,3807
2013-12-22,2399.0,2405.0,2357.0,2357.0,-1.75,3302
2013-12-23,2357.0,2330.0,2245.0,2245.0,-4.75,1786
2013-12-24,2245.0,2280.0,2245.0,2258.0,0.58,2047
2013-12-26,2258.0,2320.0,2260.0,2270.0,0.53,4278
2013-12-29,2270.0,2275.0,2220.0,2250.0,-0.88,3809
2013-12-31,2250.0,2250.0,2200.0,2210.0,-1.78,2064
2014-01-01,2210.0,2180.0,2142.0,2151.0,-2.67,433
2014-01-02,2151.0,2150.0,2090.0,2125.0,-1.21,10110
2014-01-05,2125.0,2125.0,2100.0,2125.0,0.00,5113
2014-01-06,2125.0,2118.0,2095.0,2110.0,-0.71,3381
2014-01-07,2110.0,2135.0,2070.0,2126.0,0.76,4731
2014-01-08,2126.0,2180.0,2100.0,2168.0,1.98,2502
2014-01-09,2168.0,2172.0,2125.0,2172.0,0.18,1115
2014-01-12,2172.0,2225.0,2105.0,2225.0,2.44,1788
2014-01-13,2225.0,2260.0,2225.0,2250.0,1.12,1385
2014-01-14,2250.0,2250.0,2220.0,2220.0,-1.33,287
2014-01-16,2220.0,2230.0,2199.0,2199.0,-0.95,163
2014-01-19,2199.0,2230.0,2190.0,2210.0,0.50,1484
2014-01-20,2210.0,2200.0,2166.0,2185.0,-1.13,1001
2014-01-21,2185.0,2177.0,2100.0,2129.0,-2.56,1824
2014-01-22,2129.0,2115.0,2070.0,2090.0,-1.83,2490
2014-01-23,2090.0,2100.0,2050.0,2080.0,-0.48,1919
2014-01-26,2080.0,2100.0,2035.0,2085.0,0.24,2305
2014-01-27,2085.0,2105.0,2075.0,2075.0,-0.48,700
2014-01-28,2075.0,2085.0,2040.0,2057.0,-0.87,3039
2014-01-29,2057.0,2060.0,2025.0,2050.0,-0.34,1516
